code,output,error
(+ -2 -2),-4,0
(+ -2 -1),-3,0
(+ -2 0),-2,0
(+ -2 1),-1,0
(+ -2 2),0,0
(+ -2 (+ -2 -2)),-6,0
(+ -2 (+ -2 -1)),-5,0
(+ -2 (+ -2 0)),-4,0
(+ -2 (+ -2 1)),-3,0
(+ -2 (+ -2 2)),-2,0
(+ -2 (+ -1 -2)),-5,0
(+ -2 (+ -1 -1)),-4,0
(+ -2 (+ -1 0)),-3,0
(+ -2 (+ -1 1)),-2,0
(+ -2 (+ -1 2)),-1,0
(+ -2 (+ 0 -2)),-4,0
(+ -2 (+ 0 -1)),-3,0
(+ -2 (+ 0 0)),-2,0
(+ -2 (+ 0 1)),-1,0
(+ -2 (+ 0 2)),0,0
(+ -2 (+ 1 -2)),-3,0
(+ -2 (+ 1 -1)),-2,0
(+ -2 (+ 1 0)),-1,0
(+ -2 (+ 1 1)),0,0
(+ -2 (+ 1 2)),1,0
(+ -2 (+ 2 -2)),-2,0
(+ -2 (+ 2 -1)),-1,0
(+ -2 (+ 2 0)),0,0
(+ -2 (+ 2 1)),1,0
(+ -2 (+ 2 2)),2,0
(+ -2 (* -2 -2)),2,0
(+ -2 (* -2 -1)),0,0
(+ -2 (* -2 0)),-2,0
(+ -2 (* -2 1)),-4,0
(+ -2 (* -2 2)),-6,0
(+ -2 (* -1 -2)),0,0
(+ -2 (* -1 -1)),-1,0
(+ -2 (* -1 0)),-2,0
(+ -2 (* -1 1)),-3,0
(+ -2 (* -1 2)),-4,0
(+ -2 (* 0 -2)),-2,0
(+ -2 (* 0 -1)),-2,0
(+ -2 (* 0 0)),-2,0
(+ -2 (* 0 1)),-2,0
(+ -2 (* 0 2)),-2,0
(+ -2 (* 1 -2)),-4,0
(+ -2 (* 1 -1)),-3,0
(+ -2 (* 1 0)),-2,0
(+ -2 (* 1 1)),-1,0
(+ -2 (* 1 2)),0,0
(+ -2 (* 2 -2)),-6,0
(+ -2 (* 2 -1)),-4,0
(+ -2 (* 2 0)),-2,0
(+ -2 (* 2 1)),0,0
(+ -2 (* 2 2)),2,0
(+ -2 (/ -2 -2)),-1,0
(+ -2 (/ -2 -1)),0,0
(+ -2 (/ -2 0)),E,1
(+ -2 (/ -2 1)),-4,0
(+ -2 (/ -2 2)),-3,0
(+ -2 (/ -1 -2)),-1.5,0
(+ -2 (/ -1 -1)),-1,0
(+ -2 (/ -1 0)),E,1
(+ -2 (/ -1 1)),-3,0
(+ -2 (/ -1 2)),-2.5,0
(+ -2 (/ 0 -2)),-2,0
(+ -2 (/ 0 -1)),-2,0
(+ -2 (/ 0 0)),E,1
(+ -2 (/ 0 1)),-2,0
(+ -2 (/ 0 2)),-2,0
(+ -2 (/ 1 -2)),-2.5,0
(+ -2 (/ 1 -1)),-3,0
(+ -2 (/ 1 0)),E,1
(+ -2 (/ 1 1)),-1,0
(+ -2 (/ 1 2)),-1.5,0
(+ -2 (/ 2 -2)),-3,0
(+ -2 (/ 2 -1)),-4,0
(+ -2 (/ 2 0)),E,1
(+ -2 (/ 2 1)),0,0
(+ -2 (/ 2 2)),-1,0
(+ -2 (- -2 -2)),-2,0
(+ -2 (- -2 -1)),-3,0
(+ -2 (- -2 0)),-4,0
(+ -2 (- -2 1)),-5,0
(+ -2 (- -2 2)),-6,0
(+ -2 (- -1 -2)),-1,0
(+ -2 (- -1 -1)),-2,0
(+ -2 (- -1 0)),-3,0
(+ -2 (- -1 1)),-4,0
(+ -2 (- -1 2)),-5,0
(+ -2 (- 0 -2)),0,0
(+ -2 (- 0 -1)),-1,0
(+ -2 (- 0 0)),-2,0
(+ -2 (- 0 1)),-3,0
(+ -2 (- 0 2)),-4,0
(+ -2 (- 1 -2)),1,0
(+ -2 (- 1 -1)),0,0
(+ -2 (- 1 0)),-1,0
(+ -2 (- 1 1)),-2,0
(+ -2 (- 1 2)),-3,0
(+ -2 (- 2 -2)),2,0
(+ -2 (- 2 -1)),1,0
(+ -2 (- 2 0)),0,0
(+ -2 (- 2 1)),-1,0
(+ -2 (- 2 2)),-2,0
(+ -2 ((λ (x) x) -2)),-4,0
(+ -2 ((λ (x) x) -1)),-3,0
(+ -2 ((λ (x) x) 0)),-2,0
(+ -2 ((λ (x) x) 1)),-1,0
(+ -2 ((λ (x) x) 2)),0,0
(+ -2 ((λ (x) -2) -2)),-4,0
(+ -2 ((λ (x) -2) -1)),-4,0
(+ -2 ((λ (x) -2) 0)),-4,0
(+ -2 ((λ (x) -2) 1)),-4,0
(+ -2 ((λ (x) -2) 2)),-4,0
(+ -2 ((λ (x) -1) -2)),-3,0
(+ -2 ((λ (x) -1) -1)),-3,0
(+ -2 ((λ (x) -1) 0)),-3,0
